signature,slot,block_time,fee,compute_units,instruction_count,program_ids,account_count,total_positive_balance_changes,total_negative_balance_changes,hour,weekday,slot_rpc,block_time_rpc,fee_lamports_rpc,compute_units_rpc,compute_units_rpc_new
CivN2C7KNENHEhC2Bpq56vbP7E83EScM8bbGwtDmvbxFQwF2vnaYBmM4nixypBKSgNbNDPNwjZKoZbJc6Rwhgve,358937525.0,1754757523.0,505000.0,45830.0,3.0,"ComputeBudget111111111111111111111111111111, pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA",21.0,0.0,505000.0,22.0,5.0,358937525.0,1754757523.0,505000.0,45830.0,45830.0
4SJX6o5kuLhZ4tfgSbnFgRnfAHq9jRSBJiao5YZxqDUURSiPEhTVmGDyBZSGQiAgiUui2SN4m7HfC1pJDVe1C1F2,358936989.0,1754757311.0,105000.0,29607.0,3.0,"675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8, ComputeBudget111111111111111111111111111111",20.0,4128849302.0,4128954302.0,22.0,5.0,358936989.0,1754757311.0,105000.0,29607.0,29607.0
2c9RDp16X6Pxdu7Yet8K3JgrfhNN3SAkrWmdnQezivUgQWsYyBBVBVEDNpsyNmotwfv1VJCfJhed9bVNVPNLXBAL,358936987.0,1754757309.0,505000.0,29617.0,3.0,"675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8, ComputeBudget111111111111111111111111111111",20.0,4047214620.0,4047719620.0,22.0,5.0,358936987.0,1754757309.0,505000.0,29617.0,29617.0
JDBc2JdaTBYwsacb4ujNZ7FXkoGUgaxoZqhE5KaeTXys1WPL3GSjbE39RARcq4eqZJRprbGYFdpr1tLpB54zqtX,358935896.0,1754756860.0,505000.0,48806.0,3.0,"ComputeBudget111111111111111111111111111111, pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA",21.0,0.0,505000.0,21.0,5.0,358935896.0,1754756860.0,505000.0,48806.0,48806.0
5ka4erXoXQTaTukdfoLaEiKvgB6tVKwPkpgpDpLmEoNp9KbSWymZAYmZeMU474cqZHo3rGpLs5Se8MsTBrA99TN2,358935516.0,1754756714.0,105000.0,73142.0,3.0,"ComputeBudget111111111111111111111111111111, pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA",21.0,3883927170.0,3884032170.0,21.0,5.0,358935516.0,1754756714.0,105000.0,73142.0,73142.0
3gaCQ1mFZaz8ogxKojJHYvpfJEnmKskwwTJqmaqwPj7CQYkxmJ2kipsMEQUSVnvJLxtu71EdAuoRskLsuV1aNNjq,358935516.0,1754756714.0,105000.0,73142.0,3.0,"ComputeBudget111111111111111111111111111111, pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA",21.0,3897421921.0,3897526921.0,21.0,5.0,358935516.0,1754756714.0,105000.0,73142.0,73142.0
4JUQ5GddKe87rBnwwbENhGsuvYJyDBvN62QC738MavrXV6UQmd66v6XAHpqffjSXAbCdVMMekkgiGeTzLWNujPFN,358935424.0,1754756676.0,505000.0,90978.0,3.0,"ComputeBudget111111111111111111111111111111, pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA",21.0,7440180051.0,7440685051.0,21.0,5.0,358935424.0,1754756676.0,505000.0,90978.0,90978.0
36KZ3KWJEWeJDBSARZ1h2oqK4c4tZF25cMZjf3fQzkRoZBu1Th72au1L8mtujNpKNWgwCGKUm2SVgUd3193czWCX,358935339.0,1754756643.0,505000.0,47384.0,3.0,"ComputeBudget111111111111111111111111111111, pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA",21.0,0.0,505000.0,21.0,5.0,358935339.0,1754756643.0,505000.0,47384.0,47384.0
5jtbGTogRaAJG9F44sw26JiJGq6JQkBL9BEDQWyMY8gTVEQMGE6cm6A1uRv3ZQN8Sy8SWJvWsr9vcPdXtB7NqrjE,358934749.0,1754756413.0,505000.0,24333.0,3.0,"CPMMoo8L3F4NbTegBCKVNunggL7H1ZpdTHKxQB5qKP1C, ComputeBudget111111111111111111111111111111",14.0,0.0,505000.0,21.0,5.0,358934749.0,1754756413.0,505000.0,24333.0,24333.0
3gyQaSNpone4UzPLzuXXY2KHL613rSnQQvVqZFvAiiHxigpUQ4UkrXwizntgVm71ExTr1BtJshVFzHer4eDDyQPA,358934623.0,1754756364.0,505000.0,24333.0,3.0,"CPMMoo8L3F4NbTegBCKVNunggL7H1ZpdTHKxQB5qKP1C, ComputeBudget111111111111111111111111111111",14.0,0.0,505000.0,21.0,5.0,358934623.0,1754756364.0,505000.0,24333.0,24333.0
