signature,compute_units_rt,fee_lamports_rt,fee_sol_rt,latency_seconds_rt
4uKer3xR278HWd9zZyQWvxA2RYorAchEVdnjqZDG3E3cNXJZKbQQHfhWeZtiLh6iTpzoquW4esaBvQKQYH1qoFiM,,,,
345MEeP2PTkFsPa3qJH8avNRNaYxphxbRkRrBD8eSzwqYrZCZe4DhZJ8PFKYoTvN4tc1wKTvA6dH1968oCq5ttqB,,,,
LjNatXjqPZb5L8qBbNDLeuY5aUstYu58oi97XmDT4nn3QGnZUrJpMFoJAkjQW2Phq8Md4uvZvANZ9o4mpa6Y4Tq,,,,
35kzQY1nPL7DkbAqG7q6BRSM3w2pwEu9DeeXgo2FeV5mCyJXao1Y3BqzktHTZAmjYewbozM2AmSfwa5dESxYo84V,,,,
31MaMZpMfsRS2Q7DnhRgbrNE7q6wiRvVxnV224MwpcsxVx3bMNbtsxJtmjvADpYcxHWh7gn4tALVJnSaVibHtP35,,,,
5kw3HT4KTZJRtWwfV4GopSfW1G3UdxHfLVXQqN946NdJvBR5nTMVpAet7SBLTNZnucPGXPKkyU6ca2syfDmwqWj9,,,,
4urijDU8TD6qCRmhMQC7FyzZjhj2X4aM21pWBUA48Lgju74sGfrhJAdn96FCSQyJyjbWMDBi3vJTGnaTjiYykjrg,,,,
3SKgA8kNrjLPE4YsQ6jjoh8Uk5PWYyREj1m5MvjT5TjBAB8dbJyMev22i8bbtmj7xHXEZbHWtHpKuKKsgHX7SSTP,,,,
34HR28E1fhqSF5sjWJx7bAz2UBh25LsxzfhSoLnrhi5RMPLKqJRCTbAv4KefGGN7tQKgKhiGCZX1m7oYZ7aqe2JV,,,,
2DYbkHx7Yv7N6soE2FDo3vMnyjBWDd2wdXsYztdUS96Tmbha6qUXkVNWdnGxexvvoMPHTYXJgmnPnudTfEtYLtX2,,,,
2xyf14Tv6HYk88H1E3x9RPRGsD6Z76QrYCqVZZXp2oAT2GZMBJv8iJaYAnFDskYQPgQ7QmrUQDcn1sdGQn56ksD6,,,,
5yr4je2KdE16jhS4E2JTRKrs7ebWDwb4RMwHjSKeXCHzGHQShe9rWniYTiq4zBteBe5tWisSmq4vPHxHwA9MBMrB,,,,
XPpUvKK3i5nYc11sgS8VPQk3z6dXYaLCVrumowuzvsAGrJQsH8VfB57QDL25fs9SSN8Aa8D3C83u5TrrMTGXoUB,,,,
DHueEnXiywkuX6xBERWvkGL8dyf3ZmATepRv2a83sxcun8vhNTPwKnD2yd8m9U6RrgZm9oZZoWauW4DWq7vo3TZ,,,,
2YH4bcxuF9Box58F7MuABbT1ni4N6MBzxv7hhk3dSjDruMDbMota7VJfTuRDpFpBLXQX6xArUmqKqK26sfCDWKSp,,,,
2oiB3qSPBCbXoFMfdv1Gr5TwfeYg3sGboHcZZ1VBWcpTf1uCVzci7aSBS9xNiz3zg7d7eaMQd9eBQU9aXcNRai8b,,,,
4wR96NiJvsCVwYmvUYjU6t3nRFciX6pH8HzY3e7fD4iBheDrtkPFc2tLimZ7JFfPkXhxZE5fXQb9QZYXmbRmpZ54,,,,
4wk2d19SjUYjQiqoYkZ7r9H7oWZxRvB1hncUEJADMraGk3kWXnHFe8kzDqTppDd5T2tUEbQnfnvpGJbwY23AanmC,,,,
2fTzMxRXJiU24tJXm8n61NVxMnqmTvEdC77VJV4ts8DbuR2z1sKRLaHqXaH35sZVeGTWjeocp42VYaT7of4EbArb,,,,
3mRh79cBRzhmnP2fD3tZdSArFatTmHekXigS5KYep1tebsG8Wt1czwn9bQySRWN2TKEEnjXnWYeboBLE686pqyBT,,,,
KJAP6BwSArgGsy44eoj6pvhC1vgkr37aiNjJUCinUaFH5GHQRQkUmSuB1hQKAXdXrtwEo39fY2jSC8W9XUVaJiE,,,,
2arNTcHCDVS7b72ET846wV4nNRKGknfrxxyqWieHaiAWFRQoT8jCTiGn3icgdqAGf1vVesKRzdHSBaW75F2BAZiU,,,,
5KSJ5L3sGWdG8UTvVNmRWkk7MByPN4Jgof1FeY52HwmzSAKET9KiCKzyWS7LDPzyGPJHWotfXdvpzR1DjAeuVfH9,,,,
4J4Ft47sY9FoAasTnusyuziyFAtYZ2wqJfaoG4tq17WvyP99xKmmxZWhsrpY6emoGTP5cjFgN6SNYvoQrGAgt6h4,,,,
Ktjds8cwh4jbchxojfp7TgGWjGL3qCV6qJsduBpjdmcJs7U6wzRizhKgArwzSAPjqeDsaJwxpMkeoJsEK3ZRz18,,,,
3a326JHaqNSqZiptMBVg5ZQHjUx8fV5X3P5LVxcYH4bokbPq7dybTk9q35xe6AkfgphYLzPnbJfF5Yy9K5sc41hM,,,,
2aJHFhMcKW23ZjEE7rHpoFn3qZwAuN9TcL2eaJMH2JDG3mvCukUQRjD6J2oPodYLa188RXTBtYX324iK3qiuC9ZF,,,,
4GgetNEanZs5HUogp7TvTGsQx938fPE6AcEz2DhoKBsZ3XMQgdCrDJK62pEeG5V7GtGD3iTqTA3sU3YMSmatxm5F,,,,
utwkMt55HQRY3az3MZj8kwjkYphARkHzUduCHh9F3Lo1YQhX1fFzb5Wh72BFRATy3rfSXjUAHSNyJoQvz8CrPGK,,,,
2Cbbwmv8jPXS8BdDxEZUxw9CXevxQ5hQtEYE94hnmzvRrBzW9zTWQpsaokykjGCavt1yHQ2yzgnxdLrHNnwWsH3v,,,,
26Cfvpv1yRESYneqsES982dvJyFrFMU8DqQqJjGphrEHxWGzE521gYwvsPwxzDYB8Jesf6Ly8bLxT3tJADWd4MgH,,,,
4JzvrMutcaRdCZWi2Udh2GzZSanVtt2qxe16ikZkdZ2zHaSLcGwdKLACEpJn85r9VbiWUwhaivQEj2R33cikwHht,,,,
3zfrBYycAwzzpQLaP79KRDsPPstgii4eorJ2BGX92qAUbHyTuvTVjUEXKiNbZAgc66uncc2aR7u7XDwPDbpHQXwP,,,,
3sFxDMd9GLJtTCNyCR2SSrFqypSUgrZM5Z91qtC9LePEHGGJ2MmaeHG1WTutrDsk4RxfFsVtgESnvpXMvHJ4xpss,,,,
3Tp33htvrbX8dkCoSm3F6tRWaMkHJ7XJVofoqXJ3T2ZuLjHRU2vopBj6yrWaMLZAJT6j6HLWLGVVg7rLB8iciRRz,,,,
9eTGvRhwPksuMC1qVdRnYRnETGiyCykkodz6rjxyCGfH5EZc2mBSj1u9saBQSxcViXDpa7HffrmVdJTTz3XtwYS,,,,
2TrPbSLMoWwtEDPkyeY54aLFfufpisAXQpawJUXrHoTxqzSUpiVFukCDaT8BwuUvCboAn8GbYuDku4kQwFWDXkT7,,,,
